iter	Accuracy	MultiClass
0	0.4251197369	1.887541074
1	0.4895989706	1.828211051
2	0.4974622918	1.792927974
3	0.5374222603	1.752950375
4	0.5365644435	1.720553257
5	0.5437129173	1.681215527
6	0.5602258918	1.657658187
7	0.57981271	1.625795637
8	0.5838873401	1.599027678
9	0.602187433	1.576450949
10	0.6149832011	1.552675765
11	0.6234898849	1.532886296
12	0.6298520266	1.512305554
13	0.6317821145	1.488578008
14	0.6349989277	1.467585088
15	0.6405747373	1.443069236
16	0.6470798485	1.427581327
17	0.6477232111	1.413991445
18	0.6543712917	1.391748806
19	0.6521552649	1.381027514
20	0.6539423833	1.370048959
21	0.6550146544	1.354078664
22	0.6583029523	1.340939712
23	0.660018586	1.329016909
24	0.661948674	1.317466091
25	0.6617342197	1.303707883
26	0.6651654872	1.289581386
27	0.6698119951	1.275436132
28	0.6786761027	1.264596267
29	0.6803917364	1.254558445
30	0.6848952749	1.24481464
31	0.6878976339	1.231774957
32	0.6913289013	1.222479508
33	0.6921152334	1.213173576
34	0.6969761956	1.204026489
35	0.7014797341	1.195081723
36	0.7034813067	1.184913316
37	0.7059832726	1.173805065
38	0.7130602616	1.161677416
39	0.7163485596	1.151422204
40	0.7172778612	1.145453605
41	0.718421617	1.138898309
42	0.7224962471	1.129724506
43	0.7237829723	1.115257371
44	0.7282865108	1.104776459
45	0.7320037172	1.093727697
46	0.7325755951	1.085437053
47	0.7329330188	1.076783155
48	0.7335048967	1.071513988
49	0.7357924083	1.064852622
50	0.7357209236	1.059393858
51	0.7372221031	1.055405486
52	0.7397955536	1.045046228
53	0.7406533705	1.039521954
54	0.7418686111	1.0314322
55	0.7573807992	1.021136409
56	0.757166345	1.01736589
57	0.7597397956	1.01056158
58	0.7600257345	1.007136554
59	0.761526914	1.000123164
60	0.7610980056	0.9960950684
61	0.7624562156	0.9868968474
62	0.764529273	0.9809492394
63	0.766173422	0.9742476608
64	0.7697476589	0.9669116119
65	0.7715347773	0.9629290889
66	0.7724640789	0.9586026292
67	0.7726070484	0.9561826032
68	0.7743226821	0.9488829842
69	0.7751090142	0.9448028611
70	0.7796840375	0.9374373608
71	0.779255129	0.933893166
72	0.7820430338	0.9281333607
73	0.7821860033	0.9241458166
74	0.7840446065	0.918386144
75	0.7840446065	0.9155626544
76	0.7849739081	0.9099255073
77	0.7880477518	0.9040095971
78	0.7889770534	0.8976803346
79	0.7921223819	0.8899135787
80	0.7954106798	0.8819171846
81	0.7987704625	0.8758937307
82	0.7986989778	0.8724475505
83	0.800557581	0.8660554195
84	0.8010579741	0.8629408948
85	0.8017728215	0.860400093
86	0.8030595468	0.8568426162
87	0.8057044821	0.8526128365
88	0.8059189363	0.8493781631
89	0.8070626921	0.8452531585
90	0.8094216885	0.841670113
91	0.8101365358	0.8391813013
92	0.8102795053	0.8360554828
93	0.8135678033	0.8284822436
94	0.8145685896	0.8221137564
95	0.815283437	0.8176294412
96	0.8157123454	0.813205702
97	0.8165701623	0.8103798456
98	0.816641647	0.807811944
99	0.8187861891	0.8023335372
100	0.8195010365	0.8000232466
101	0.8208592466	0.7959662951
102	0.8207877618	0.7934243448
103	0.8217170634	0.7898668669
104	0.8231467582	0.7862709025
105	0.825648724	0.7812692261
106	0.8278647509	0.7749404626
107	0.8284366288	0.7726253427
108	0.8306526557	0.7685049201
109	0.831367503	0.7646892352
110	0.8319393809	0.7601465387
111	0.8320108657	0.7572232577
112	0.8325827436	0.7545931256
113	0.8328686825	0.7520784886
114	0.8326542283	0.7490318699
115	0.8333690757	0.7467010279
116	0.8352276789	0.7428920722
117	0.8370147973	0.7399882419
118	0.8370147973	0.7388885408
119	0.8367288584	0.73721815
120	0.8388019158	0.7338231962
121	0.8400886411	0.7295416678
122	0.8408749732	0.7251113378
123	0.8412323969	0.7236550202
124	0.8404460648	0.7205453391
125	0.8423761527	0.7147953425
126	0.8432339695	0.712397847
127	0.8435913932	0.7099957021
128	0.8448066338	0.7056630182
129	0.846665237	0.7019372297
130	0.8487382944	0.6985112684
131	0.8484523554	0.6963228214
132	0.8486668096	0.694085245
133	0.8488812639	0.6920425487
134	0.8498105654	0.6888494489
135	0.8502394739	0.6863633313
136	0.8511687755	0.6844096799
137	0.8525269855	0.6813431254
138	0.8533848023	0.6779232511
139	0.8541711345	0.676209503
140	0.855672314	0.6717896703
141	0.8557437987	0.6703404293
142	0.8558867682	0.6687313478
143	0.856744585	0.6660410101
144	0.857030524	0.6630474948
145	0.8578168561	0.6597072575
146	0.8591750661	0.6560149637
147	0.8602473372	0.653757911
148	0.8613196083	0.6515852244
149	0.8620344556	0.6489716356
150	0.8622489099	0.647597334
151	0.8629637572	0.6451302967
152	0.864107513	0.6415619484
153	0.8644649367	0.6400665384
154	0.8643219673	0.6380955603
155	0.8646079062	0.6357075386
156	0.8647508757	0.6331849609
157	0.8650368146	0.631087543
158	0.8658946315	0.6274772334
159	0.8664665094	0.6250727599
160	0.8665379941	0.6239031902
161	0.8666809636	0.6217885831
162	0.8667524484	0.620218672
163	0.8673243263	0.6177387484
164	0.8686825363	0.6150702994
165	0.8696118379	0.6123746025
166	0.8694688684	0.6095729347
167	0.8702552005	0.6079970106
168	0.8706841089	0.6065754368
169	0.8716848953	0.6032915137
170	0.8725427121	0.6011762917
171	0.8723282579	0.6002310788
172	0.8732575595	0.5975541436
173	0.8737579527	0.5960276044
174	0.8744013153	0.5945289632
175	0.8746872543	0.5933590761
176	0.8755450711	0.5915848215
177	0.876402888	0.5898613246
178	0.8771892201	0.5880041711
179	0.8779040675	0.5861307925
180	0.8781900064	0.5840338975
181	0.8794767317	0.5805834312
182	0.8798341554	0.579255648
