iter	Passed	Remaining
0	66	33429
1	70	17513
2	73	12184
3	76	9496
4	79	7896
5	82	6821
6	85	6024
7	88	5417
8	90	4948
9	93	4569
10	95	4261
11	98	4003
12	101	3785
13	103	3599
14	106	3438
15	109	3299
16	111	3172
17	114	3059
18	116	2961
19	119	2868
20	122	2784
21	124	2711
22	127	2641
23	129	2575
24	132	2516
25	134	2460
26	137	2411
27	140	2371
28	143	2330
29	146	2293
30	149	2259
31	152	2225
32	154	2192
33	157	2159
34	160	2132
35	163	2104
36	166	2078
37	168	2053
38	171	2029
39	174	2008
40	177	1985
41	180	1964
42	182	1942
43	185	1921
44	187	1900
45	190	1880
46	193	1861
47	195	1842
48	198	1824
49	200	1807
50	203	1790
51	205	1773
52	208	1758
53	211	1743
54	213	1728
55	216	1713
56	218	1699
57	221	1686
58	223	1672
59	226	1659
60	228	1646
61	231	1636
62	234	1624
63	236	1612
64	239	1602
65	241	1590
66	244	1579
67	246	1567
68	249	1558
69	251	1547
70	254	1537
71	256	1527
72	259	1518
73	262	1509
74	264	1499
75	267	1490
76	269	1481
77	272	1472
78	274	1464
79	277	1457
80	280	1449
81	282	1441
82	285	1433
83	287	1425
84	290	1418
85	293	1410
86	295	1402
87	297	1395
88	300	1387
89	303	1381
90	305	1374
91	308	1366
92	310	1360
93	313	1355
94	316	1349
95	319	1343
96	322	1338
97	324	1332
98	327	1325
99	329	1319
100	332	1313
101	335	1308
102	338	1303
103	340	1298
104	343	1292
105	346	1287
106	348	1281
107	351	1275
108	354	1270
109	356	1264
110	359	1259
111	361	1253
112	364	1248
113	367	1242
114	369	1237
115	372	1232
116	374	1227
117	377	1221
118	379	1216
119	382	1210
120	385	1206
121	387	1201
122	390	1196
123	392	1191
124	395	1186
125	398	1181
126	400	1176
127	403	1171
128	405	1167
129	408	1162
130	411	1158
131	413	1153
132	416	1148
133	418	1143
134	421	1138
135	423	1134
136	426	1129
137	428	1125
138	431	1120
139	434	1116
140	437	1112
141	439	1108
142	442	1103
143	444	1099
144	447	1095
145	450	1091
146	452	1087
147	455	1082
148	457	1078
149	460	1074
150	463	1070
151	465	1066
152	468	1062
153	470	1057
154	473	1053
155	475	1049
156	478	1045
157	481	1041
158	483	1037
159	486	1033
160	489	1029
161	491	1025
162	494	1021
163	496	1017
164	499	1013
165	501	1009
166	504	1006
167	507	1002
168	509	997
169	512	994
170	514	990
171	517	986
172	520	983
173	523	980
174	525	976
175	528	972
176	530	968
177	533	965
178	536	961
179	538	957
180	541	954
181	544	951
182	546	947
183	549	943
184	551	939
185	554	935
186	557	932
187	559	928
188	562	925
189	564	921
190	567	917
191	569	913
192	572	910
193	574	906
194	577	903
195	580	899
196	582	895
197	585	892
198	587	888
199	590	885
200	592	881
201	595	878
202	597	874
203	600	871
204	603	867
205	605	864
206	608	861
207	611	858
208	614	855
209	617	852
210	619	848
211	622	845
212	624	842
213	627	838
214	630	835
215	633	832
216	635	828
217	638	825
218	640	822
219	643	818
220	645	815
221	648	811
222	650	808
223	653	805
224	655	801
225	658	798
226	661	795
227	663	791
228	666	788
229	669	785
230	671	782
231	674	779
232	677	776
233	679	772
234	682	770
235	685	767
236	688	763
237	690	760
238	693	757
239	696	754
240	698	751
241	701	747
242	703	744
243	706	741
244	709	738
245	711	734
246	714	731
247	716	728
248	719	725
249	721	721
250	724	718
251	727	715
252	729	712
253	732	709
254	735	706
255	737	703
256	740	700
257	743	697
258	746	694
259	748	691
260	751	687
261	753	684
262	756	681
263	759	678
264	761	675
265	764	672
266	767	669
267	769	666
268	772	663
269	775	660
270	778	657
271	780	654
272	783	651
273	785	648
274	788	645
275	791	641
276	793	638
277	796	635
278	798	632
279	801	629
280	803	626
281	806	623
282	809	620
283	811	617
284	814	614
285	816	611
286	819	608
287	822	605
288	824	602
289	827	599
290	830	596
291	832	593
292	835	590
293	837	586
294	840	583
295	842	580
296	845	577
297	848	575
298	850	571
299	853	568
300	855	565
301	858	562
302	861	559
303	863	557
304	866	553
305	869	551
