channel_id,channel_name,sector
UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,Sci-Tech
UCsBjURrPoezykLs9EqgamOA,Fireship,Sci-Tech
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,Entertainment
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,Entertainment
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,Entertainment
UC4PooiX37Pld1T8J5SYT-SQ,Good Mythical Morning,Entertainment
UCCezIgC97PvUuR4_gbFUs5g,Corridor Crew,Entertainment
UC295-Dw_tDNtZXFeAPAW6Aw,5-Minute Crafts,DIY
UCa-vrCLQHviTOVnEzDJGHIQ,Adam Savage,DIY
UC2C_jShtL725hvbm1arSV9w,CGP Grey,Education
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt,Education
UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,Education
UC9-y-6csu5WGm29I7JiwpnA,Computerphile,Sci-Tech
UCsooa4yRKGN_zEE8iknghZA,TED-Ed,Education
UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,Sci-Tech
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,Sports
UCEzgWePyW7Hzn0OOcEM5pNQ,F1,Sports
UCpFFItkfZz1qz5PpHpqzYBw,FIFA,Sports
UCIJ0lLcABPdYGp7pRMGccAQ,Tasty,Lifestyle
UCJfp9P_ctifmjojrMnfOJEA,Bon Appetit,Lifestyle
