channel_id,channel_name,sector
UCam8T03EOFBsNdR0thrFHdQ,Typical Gamer,Gaming
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,Gaming
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,Gaming
UCqJ-Xo29re0KjNiGqSn71nw,Jacksepticeye,Gaming
UC7_YxT-KID8kRbqZo7MyscQ,Markiplier,Gaming
UCYzPXprvl5Y-Sf0g4vX-m6g,Game Grumps,Gaming
UCbmNph6atAoGfqLoCL_duAg,Dream,Gaming
UCS5tt2z_DFvG7-39J3aE-bQ,Ludwig,Gaming
UCMB1HPqFBPvvWHxlY4HNGQQ,Mizkif,Gaming
UCr_2JRCPBtqE6pR_b7EACOg,xQc Clips,Gaming
UCqh3dHclqpqmm4vE6yQGPZw,Valkyrae,Gaming
UC2EKKcGup3o7PVVu7b0NMCQ,TimTheTatman,Gaming
UCbSMBB3UOR3A0eDaFGRBqaA,Sykkuno,Gaming
UCUyeluBRhGPCW4lXX0ocBjg,Disguised Toast,Gaming
UC8aG3LDTDwNR1UQhSn9uVdw,HasanAbi,Gaming
UCd534c_ehOvrLVL2v7Nl61w,Pokimane,Gaming
UCtvnbGDSMDUB5aVVLNOlqGg,Shroud,Gaming
UC7EGnMOIVKd3N5ZoamE6jLQ,CourageJD,Gaming
UC3kWFvPaUzLmKMzAPTJt9Xg,NickEh30,Gaming
UCkAGrHCLFmlK3H2kd6isipg,TheGrefg,Gaming
UCvfgXSRmxfgQz5EwFBFiUhg,Ninja,Gaming
UCKkQ0gfVv3SFx3IFQg8vAZA,DrDisrespect Clips,Gaming
UCbFCOBalFJEt2SAJnDEHMpw,Lil Uzi Gaming,Gaming
UC2C_jShtL725hvbm1arSV9w,CGP Grey,Education
UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt,Education
UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,Education
UCsooa4yRKGN_zEE8iknghZA,TED-Ed,Education
UCddiUEpeqJcYeBxX1IVBKvQ,Smarter Every Day,Education
UCnUYZLuoy1rq1aVMwx4aTzw,Veritasium,Education
UCimiUgDLbi6P17BdaCZpVbg,Everyday Astronaut,Education
UCHKRqV_P5WOoMrPSGcjQSYg,Wendover Productions,Education
UClnDI2sdehVm1zm_LmUHsjQ,ThioJoe,Education
UCkw4JLpqJobBtcZeOK0WbkQ,MinutePhysics,Education
UC9-y-6csu5WGm29I7JiwpnA,Computerphile,Education
UCeY0bbntWzzVIaj2z3QigXg,Practical Engineering,Education
UCHnyfMqiRRG1u-2MsSQLbXA,Vsauce,Education
UCnkp4xDOwqqJD7sSM3xdUiQ,Domain of Science,Education
UCivA7_KLKWo43tFcCkFvydA,Crash Course,Education
UCWX3yGbODI3CMqxBHBPDwsA,Medlife Crisis,Education
UC6x7GwJxuoABSosgVXDYtTw,Peter Draws,Education
UCsaEBhRsI6tmmz12PhykhRA,SciShow Space,Education
UC5d__DGa3y1RJkFHxDSdvJA,Real Engineering,Education
UCJQ050ge5WFMCzCXmDrMVA,The Infographics Show,Education
UCJ0-OtVpF0wOKEqT2Z1HEtA,ElectroBOOM,Education
UCJ1OEmkRGY0IFHOh_bGLJ6A,Be Smart,Education
UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,Education
UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,Education
UC7CsuBQHMnMXmk2BNmE2Bvg,Like Stories of Old,Education
UCCTVrRVmRBeF6KGbsEKT6qA,Half as Interesting,Education
UCtM5z2gkrGRuWd3ufGWN_KA,History Hit,Education
UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,Sports
UCEzgWePyW7Hzn0OOcEM5pNQ,F1,Sports
UCnzHbKT8mzQ_0b5MXQm8rDg,Copa90,Sports
UCiP6wD_tYlYLX74SzCMvssA,ESPN,Sports
UCqZQlzSHbVJrwrn5XvzrzcA,NBA,Sports
UC0o-0SaJYfSjRqNnvVdkB5A,NFL,Sports
UCJaiNKN5OolqBxhZQCpF8zg,ICC - Cricket,Sports
UCmNBQgnMJdFXLj8XyNZEDEg,BCCI,Sports
UCKKrCGSNIcvMZXSCFEkEe2g,WWE,Sports
